ID,type_code,address,person_ID
f6e5a5d2-c2b3-4b3d-9f88-4bffbfa6b1de,W,jdoe@workmail.com,d70c77b4-0452-4a6d-a382-fd4bf3dbf5ed
a7e5a6d3-d3c4-4c4e-8f99-5cffcfb7c2ef,P,johndoe@gmail.com,d70c77b4-0452-4a6d-a382-fd4bf3dbf5ed
b8e5b7d4-e4d5-5d5f-9g00-6dffdfc8d3fe,W,jsmith@workmail.com,0f8e1a95-907b-47d4-bad6-3b7315d749cc
c9e6c8d5-f5e6-6e6g-0h11-7e0g0g9e4gfg,P,jsmith@gmail.com,0f8e1a95-907b-47d4-bad6-3b7315d749cc
d0e7d9e6-g7f8-7f7h-1i22-8f1h1h0f5h5h,W,akumar@workmail.com,11cf8b96-0f4c-4c9a-91d6-3e3e39d28dfd
e1f8e0f7-h8g9-8g8i-2j33-9g2i2i1g6i6i,P,akumar@hotmail.com,11cf8b96-0f4c-4c9a-91d6-3e3e39d28dfd
f2g9f1g8-i9h0-9h9j-3k44-0h3j3j2j7j7j,W,mthomas@workmail.com,13b7b77a-82a4-45b8-ae10-02a19c64e5f9
g3h0g2h9-j0k1-0i0k-4l55-1i4k4k3k8k8k,P,mthomas@gmail.com,13b7b77a-82a4-45b8-ae10-02a19c64e5f9
h4i1h3i0-k1l2-1j1l-5m66-2j5l5l4l9l9l,W,wharris@workmail.com,ad202cbb-f42c-43bb-b07f-02d450de4a5e
i5j2i4j1-l2m3-2k2m-6n77-3k6m6m5m0m0m,P,wharris@gmail.com,ad202cbb-f42c-43bb-b07f-02d450de4a5e
j6k3j5k2-m3n4-3l3n-7o88-4l7n7n6n1n1n,W,lhill@workmail.com,5ae0117b-2f67-4d9d-a9fc-e5717f8b5d69
k7l4k6l3-n4o5-4m4o-8p99-5m8o8o7o2o2o,P,lhill@aol.com,5ae0117b-2f67-4d9d-a9fc-e5717f8b5d69
l8m5l7m4-o5p6-5n5p-9q00-6n9p9p8p3p3p,W,rroberts@workmail.com,e80f0952-3df1-4762-8b5e-dba095ed9e71
m9n6m8n5-p6q7-6o6q-0r11-7o0q0q9q4q4q,P,rroberts@yahoo.com,e80f0952-3df1-4762-8b5e-dba095ed9e71
n0o7n9o6-q7r8-7p7r-1s22-8p1r1r0r5r5r,W,sanderson@workmail.com,57ed5f3f-e04f-4908-9f2f-d6d4208e1e96
o1p8o0p7-r8s9-8q8s-2t33-9q2s2s1s6s6s,P,sanderson@gmail.com,57ed5f3f-e04f-4908-9f2f-d6d4208e1e96
p2q9p1q8-s9t0-9r9t-3u44-0r3t3t2t7t7t,W,jwhite@workmail.com,083e1649-1242-41f8-a8f8-0e2b1e8c8cf5
q3r0q2r9-t0u1-0s0u-4v55-1s4u4u8u0u0u,P,jwhite@gmail.com,083e1649-1242-41f8-a8f8-0e2b1e8c8cf5
r4s1r3s0-u1v2-1t1v-5w66-2t5v5v9v1v1v,W,mgreen@workmail.com,77479f13-4ac6-4720-8540-38f4648cf8fa
s5t2s4t1-v2w3-2u2w-6x77-3u6w6w0w2w2w,P,mgreen@yahoo.com,77479f13-4ac6-4720-8540-38f4648cf8fa
t6u3t5u2-w3x4-3v3x-7y88-4v7x7x1x3x3x,W,mdavis@workmail.com,256ecf97-c5f8-482b-bf7d-4b55a573bcec
u7v4u6v3-x4y5-4w4y-8z99-5w8y8y4y4y4y,P,mdavis@gmail.com,256ecf97-c5f8-482b-bf7d-4b55a573bcec
v8w5v7w4-y5z6-5x5z-9a00-6x9z9z5z5z5z,W,bjones@workmail.com,499b0e2b-bd3a-482d-aeec-e582f5e81f5e
w9x6w8x5-z6a7-6y6a-0b11-7y0a0a6a6a6a,P,bjones@gmail.com,499b0e2b-bd3a-482d-aeec-e582f5e81f5e
x0y7x9y6-a7b8-7z7b-1c22-8z1b1b7b7b7b,W,gclark@workmail.com,4c9dbe69-91e2-4e98-97d5-c0f6543bc95d
y1z8y0z7-b8c9-8a8c-2d33-9a2c2c8c8c8c,P,gclark@gmail.com,4c9dbe69-91e2-4e98-97d5-c0f6543bc95d
z2a9z1a8-c9d0-9b9d-3e44-0b3d3d9d9d9d,W,kmartin@workmail.com,7466ddcf-78d5-4b98-bb99-4ebeb1ff1f8e
a3b0a2b9-d0e1-0c0e-4f55-1c4e4e0e0e0e,P,kmartin@gmail.com,7466ddcf-78d5-4b98-bb99-4ebeb1ff1f8e
b4c1b3c0-e1f2-1d1f-5g66-2d5f5f1f1f1f,W,tmiller@workmail.com,9e91c29f-601e-4322-95c6-b58890c9df82
c5d2c4d1-f2g3-2e2g-6h77-3e6g6g2g2g2g,P,tmiller@gmail.com,9e91c29f-601e-4322-95c6-b58890c9df82
d6e3d5e2-g3h4-3f3h-7i88-4f7h7h3h3h3h,W,rgarcia@workmail.com,8b83cb3e-c550-4648-8a9b-dffac1bde2c8
e7f4e6f3-h4i5-4g4i-8j99-5g8i8i4i4i4i,P,rgarcia@gmail.com,8b83cb3e-c550-4648-8a9b-dffac1bde2c8
f8g5f7g4-i5j6-5h5j-9k00-6h9j9j5j5j5j,W,jlee@workmail.com,d5757fb4-c760-48a2-9ec6-7c88c5c3fdec
g9h6g8h5-j6k7-6i6k-0l11-7i0k0k6k6k6k,P,jlee@gmail.com,d5757fb4-c760-48a2-9ec6-7c88c5c3fdec
h0i7h9i6-k7l8-7j7l-1m22-8j1l1l7l7l7l,W,tsmith@workmail.com,6f8a8d1c-17e1-43b1-a947-f48d2ccdbba2
i1j8i0j7-l8m9-8k8m-2n33-9k2m2m8m8m8m,P,tsmith@gmail.com,6f8a8d1c-17e1-43b1-a947-f48d2ccdbba2
j2k9j1k8-m9n0-9l9n-3o44-0l3n3n9n9n9n,W,abrown@workmail.com,de25f0c4-70a4-44c1-bb93-cb78f1eaa7e1
k3l0k2l9-n0o1-0m0o-4p55-1m4o4o0o0o0o,P,abrown@gmail.com,de25f0c4-70a4-44c1-bb93-cb78f1eaa7e1
l4m1l3m0-o1p2-1n1p-5q66-2n5p5p1p1p1p,W,kmorris@workmail.com,c6f1b53b-9fbb-4b18-bb1d-635bb9a6897a
m5n2m4n1-p2q3-2o2q-6r77-3o6q6q2q2q2q,P,kmorris@gmail.com,c6f1b53b-9fbb-4b18-bb1d-635bb9a6897a
